time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2024/07/05/10:37:56.195316,6802,1720190276,187724042,imu_link,-0.00537815410643816,0.012059730477631092,-0.6532273888587952,-0.757046639919281,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",0.0,0.0,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.2106897532939911,-0.05267243832349777,9.50498104095459,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:56.298641,6803,1720190276,290724042,imu_link,-0.005391601473093033,0.012050200253725052,-0.6532356142997742,-0.7570396065711975,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.002128450432792306,-0.003192675532773137,0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.26336219906806946,-0.08619125932455063,9.524134635925293,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:56.383691,6804,1720190276,373724042,imu_link,-0.005312549881637096,0.012108899652957916,-0.6532471179962158,-0.7570292949676514,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.001064225216396153,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.2585737705230713,-0.05746084079146385,9.519346237182617,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:56.487004,6805,1720190276,476724042,imu_link,-0.005292114801704884,0.012126633897423744,-0.6532524824142456,-0.7570245265960693,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",0.001064225216396153,-0.001064225216396153,0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.31124621629714966,-0.10055647045373917,9.466673851013184,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:56.591004,6806,1720190276,579724042,imu_link,-0.005302167497575283,0.012182197533547878,-0.6532546877861023,-0.7570216655731201,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.002128450432792306,-0.001064225216396153,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.26815059781074524,-0.07661445438861847,9.57201862335205,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:56.692442,6807,1720190276,682724042,imu_link,-0.005325780250132084,0.012156338430941105,-0.6532450318336487,-0.7570302486419678,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",0.0,0.0,-0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.181959331035614,-0.047884032130241394,9.59596061706543,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:56.796172,6808,1720190276,785724042,imu_link,-0.005307190120220184,0.012164999730885029,-0.653248131275177,-0.7570275664329529,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.001064225216396153,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.3064578175544739,-0.043095629662275314,9.591172218322754,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:56.901381,6809,1720190276,888724042,imu_link,-0.005333868786692619,0.012182226404547691,-0.6532425284385681,-0.7570319175720215,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",0.001064225216396153,0.0,-0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.2106897532939911,-0.047884032130241394,9.485827445983887,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:56.979604,6810,1720190276,971724042,imu_link,-0.005361272022128105,0.012201068922877312,-0.6532391309738159,-0.7570343613624573,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.001064225216396153,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.24899697303771973,-0.004788403399288654,9.62947940826416,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:57.083280,6811,1720190277,74724042,imu_link,-0.005400529131293297,0.012179039418697357,-0.6532440185546875,-0.757030189037323,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.002128450432792306,0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.24899697303771973,-0.08619125932455063,9.466673851013184,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:57.186053,6812,1720190277,177724042,imu_link,-0.005378494970500469,0.01214747503399849,-0.6532493233680725,-0.7570263147354126,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.003192675532773137,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.23942017555236816,0.004788403399288654,9.634267807006836,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:57.289263,6813,1720190277,280724042,imu_link,-0.005384422838687897,0.012106292881071568,-0.6532521843910217,-0.7570244669914246,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.001064225216396153,-0.002128450432792306,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.2298433631658554,-0.12449848651885986,9.615114212036133,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:57.392753,6814,1720190277,397697154,imu_link,-0.005429040640592575,0.012094184756278992,-0.6532508730888367,-0.7570254802703857,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.002128450432792306,-0.001064225216396153,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.19153612852096558,-0.06224924325942993,9.543288230895996,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:57.494870,6815,1720190277,500697154,imu_link,-0.005432079546153545,0.011994702741503716,-0.6532498598098755,-0.7570278644561768,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.001064225216396153,0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.3016694188117981,-0.043095629662275314,9.533711433410645,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:57.597576,6816,1720190277,603697154,imu_link,-0.005439311265945435,0.011909185908734798,-0.6532488465309143,-0.7570300698280334,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.002128450432792306,-0.001064225216396153,0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.28730419278144836,-0.14844051003456116,9.653421401977539,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:57.680747,6817,1720190277,686697154,imu_link,-0.005469546653330326,0.011896321550011635,-0.6532452702522278,-0.7570331692695618,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",0.0,0.0,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.19153612852096558,-0.08619125932455063,9.653421401977539,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:57.783822,6818,1720190277,789697154,imu_link,-0.005464032292366028,0.011888707056641579,-0.6532585024833679,-0.7570218443870544,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",0.0,0.0,-0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.1867477297782898,-0.043095629662275314,9.552865028381348,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:57.886137,6819,1720190277,892697154,imu_link,-0.005434601567685604,0.011961772106587887,-0.6532452702522278,-0.7570323348045349,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.002128450432792306,0.0,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.38307225704193115,-0.07182604819536209,9.53849983215332,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:57.989599,6820,1720190277,995697154,imu_link,-0.005439357832074165,0.011935479938983917,-0.6532623171806335,-0.7570180296897888,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.001064225216396153,-0.001064225216396153,-0.001064225216396153,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.3064578175544739,-0.08619125932455063,9.682151794433594,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:58.092909,6821,1720190278,98697154,imu_link,-0.009890398010611534,0.01753288507461548,-0.6530717015266418,-0.7570285201072693,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",0.021284503862261772,-0.051082808524370193,0.004256900865584612,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",1.699883222579956,-0.31124621629714966,9.423578262329102,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:58.195659,6822,1720190278,201697154,imu_link,-0.016850916668772697,0.025011815130710602,-0.6527807712554932,-0.7569462656974792,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",0.03299098089337349,-0.09790871292352676,-0.002128450432792306,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",2.513911724090576,-0.7613561153411865,9.916783332824707,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:58.279093,6823,1720190278,284697154,imu_link,-0.02020246908068657,0.02726598083972931,-0.6522766947746277,-0.7572209239006042,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.01915605366230011,0.14473462104797363,-0.004256900865584612,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",4.371812343597412,1.0678139925003052,10.141838073730469,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:58.382816,6824,1720190278,387697154,imu_link,-0.02277115173637867,0.026744332164525986,-0.6522585153579712,-0.7571823000907898,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.003192675532773137,0.01915605366230011,-0.017027603462338448,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",-1.3982137441635132,-2.911349296569824,10.500968933105469,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:58.484569,6825,1720190278,490697154,imu_link,-0.0172834862023592,0.021597648039460182,-0.6523427963256836,-0.7574191093444824,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.02979830466210842,0.08088111132383347,0.031926754862070084,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",1.1635819673538208,-1.048660397529602,10.558429718017578,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:58.588559,6826,1720190278,593697154,imu_link,-0.01522974856197834,0.022107597440481186,-0.653964102268219,-0.7560491561889648,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.058532387018203735,-0.02766985446214676,-0.03511942923069,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",-1.742978811264038,-0.5410895943641663,9.404424667358398,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:58.690763,6827,1720190278,696697154,imu_link,-0.014718267135322094,0.020998388528823853,-0.6547881364822388,-0.7553773522377014,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",0.08194534480571747,-0.009578026831150055,0.023412954062223434,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",-1.2258312702178955,2.1547815799713135,8.125920295715332,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:58.793798,6828,1720190278,799697154,imu_link,-0.016043268144130707,0.01985970139503479,-0.6549686193466187,-0.7552246451377869,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",0.01489915233105421,0.16176222264766693,0.006385351065546274,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",2.8443117141723633,-0.5506663918495178,10.577583312988281,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:58.896453,6829,1720190278,902697154,imu_link,-0.01736585982143879,0.02646333910524845,-0.6543855667114258,-0.7554982304573059,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",0.05321125686168671,-0.03299098089337349,-0.01383492723107338,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",-2.676717519760132,-0.35434186458587646,10.433931350708008,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:58.980311,6830,1720190278,985697154,imu_link,-0.011751838028430939,0.021686559543013573,-0.6547254323959351,-0.7554641962051392,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",0.034055206924676895,-0.07343153655529022,0.005321125965565443,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.9911994934082031,1.9584569931030273,9.495404243469238,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
2024/07/05/10:37:59.083136,6831,1720190279,88697154,imu_link,-0.01151474379003048,0.021498192101716995,-0.6551504135131836,-0.7551047801971436,"(0.05, 0.0, 0.0, 0.0, 0.05, 0.0, 0.0, 0.0, 0.05)",-0.06385350972414017,-0.06704618781805038,0.058532387018203735,"(0.1, 0.0, 0.0, 0.0, 0.1, 0.0, 0.0, 0.0, 0.1)",0.090979665517807,0.2585737705230713,8.111555099487305,"(0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5)"
